"id","luokka","unique_identifier","English","English","English","Norwegian"
"100","AIKJAKS","100_AIKJAKS","previous week","previous week","previous week","forrige uke "
"200","AIKJAKS","200_AIKJAKS","previous 2 weeks","previous 2 weeks","previous 2 weeks","foregående 2 uker"
"300","AIKJAKS","300_AIKJAKS","previous 3 weeks","previous 3 weeks","previous 3 weeks","foregående tre uker "
"10000","AIKJAKS","10000_AIKJAKS","previous month","previous month","previous month","forrige måned "
"20000","AIKJAKS","20000_AIKJAKS","previous 2 months","previous 2 months","previous 2 months","foregående 2 måneder "
"30000","AIKJAKS","30000_AIKJAKS","previous 3 months","previous 3 months","previous 3 months","foregående 3 måneder "
"60000","AIKJAKS","60000_AIKJAKS","previous 6 months","previous 6 months","previous 6 months","foregående 6 måneder "
"120000","AIKJAKS","120000_AIKJAKS","previous 12 months","previous 12 months","previous 12 months","foregående 12 måneder "
"1","AIKYKS","1_AIKYKS","day(s)","day(s)","day(s)","dag(er) "
"2","AIKYKS","2_AIKYKS","week(s)","week(s)","week(s)","uke(r) "
"3","AIKYKS","3_AIKYKS","month(s)","month(s)","month(s)","måned(er) "
"4","AIKYKS","4_AIKYKS","year(s)","year(s)","year(s)","år"
"1","ASIATYYP","1_ASIATYYP","Cloudia","Cloudia","Cloudia","Cloudia"
"2","ASIATYYP","2_ASIATYYP","Cloudia KL","Cloudia KL","Cloudia KL","Cloudia KL"
"3","ASIATYYP","3_ASIATYYP","Cloudia University","Cloudia University","Cloudia University","Cloudia yliopisto"
"4","ASIATYYP","4_ASIATYYP","Cloudia Valtio","Cloudia Valtio","Cloudia Valtio","Cloudia Valtio"
"5","ASIATYYP","5_ASIATYYP","Company","Company","Company","Yritys"
"6","ASIATYYP","6_ASIATYYP","Cloudia Logica - CGI","Cloudia Logica - CGI","Cloudia Logica - CGI","Cloudia Logica - CGI"
"7","ASIATYYP","7_ASIATYYP","Cloudia Hansel","Cloudia Hansel","Cloudia Hansel","Cloudia Hansel"
"8","ASIATYYP","8_ASIATYYP","Hansel / Municipality","Hansel / Municipality","Hansel / Municipality","Hansel/kommune"
"9","ASIATYYP","9_ASIATYYP","Hansel / Valtio","Hansel / Valtio","Hansel / Valtio","NB-Hansel / Valtio"
"1","BurakTestString","1_BurakTestString","Test","Test","Test","Test"
"1","DIREKTIIVI","1_DIREKTIIVI","Directive 2014/23/EU","Directive 2014/23/EU","Directive 2014/23/EU","Direktiv 2014/23/EU"
"2","DIREKTIIVI","2_DIREKTIIVI","Directive 2014/24/EU","Directive 2014/24/EU","Directive 2014/24/EU","Direktiv 2014/24/EU"
"3","DIREKTIIVI","3_DIREKTIIVI","Directive 2014/25/EU","Directive 2014/25/EU","Directive 2014/25/EU","Direktiv 2014/25/EU"
"1","EPORLIIT","1_EPORLIIT","Trade Register extract","Trade Register extract","Trade Register extract","Utdrag fra handelsregister"
"2","EPORLIIT","2_EPORLIIT","Certificate of paid taxes","Certificate of paid taxes","Certificate of paid taxes","Sertifikat for betalte avgifter"
"3","EPORLIIT","3_EPORLIIT","Pension insurance information","Pension insurance information","Pension insurance information","Informasjon om pensjonsforsikring"
